Plate_ID,Fun_ID,cont_ID,PH_ID,Plug_ID,opp_ID,r,K
CA501,C,0,5,cCA501,A,0.12260365662646588,4.1
CA501,A,0,5,aCA501,C,0.1793855656611654,3.5
CA502,C,0,5,cCA502,A,0.2011797390542627,3.1
CA502,A,0,5,aCA502,C,0.21682513192351333,7.5
CA503,C,0,5,cCA503,A,0.1732867951399864,3.7
CA503,A,0,5,aCA503,C,0.18800967459703433,6.4
CA504,C,0,5,cCA504,A,0.13732653608351378,3.5
CA504,A,0,5,aCA504,C,0.20924705419645895,7.3
CA505,C,0,5,cCA505,A,0.13732653608351378,2.2
CA505,A,0,5,aCA505,C,0.2204485740326699,7.6
CA506,C,0,5,cCA506,A,0.13732653608351378,3.8
CA506,A,0,5,aCA506,C,0.19607698973923063,5.5
CA507,C,0,5,cCA507,A,0.12260365662646588,4.3
CA507,A,0,5,aCA507,C,0.1473318745427058,4.3
CA508,C,0,5,cCA508,A,0.18800967459703433,4.5
CA508,A,0,5,aCA508,C,0.16687513334154253,3.8
CA509,C,0,5,cCA509,A,0.13732653608351383,5
CA509,A,0,5,aCA509,C,0.1808648728670407,3.1
CA510,C,0,5,cCA510,A,0.13732653608351383,4.3
CA510,A,0,5,aCA510,C,0.16241037301628267,5.2
CA701,C,0,7,cCA701,A,0.21309351152980333,4.4
CA701,A,0,7,aCA701,C,0.18600963192872916,13
CA702,C,0,7,cCA702,A,0.24323876863191415,4.3
CA702,A,0,7,aCA702,C,0.21787116313232793,16.1
CA703,C,0,7,cCA703,A,0.18329213359917845,5
CA703,A,0,7,aCA703,C,0.17938556566116537,11.1
CA704,C,0,7,cCA704,A,0.18329213359917848,3.9
CA704,A,0,7,aCA704,C,0.1960769897392307,11.3
CA705,C,0,7,cCA705,A,0.2239699336535069,3.6
CA705,A,0,7,aCA705,C,0.16687513334154255,5.5
CA706,C,0,7,cCA706,A,0.1732867951399864,3.8
CA706,A,0,7,aCA706,C,0.19075703793688115,6.4
CA707,C,0,7,cCA707,A,0.1504966005407421,2.9
CA707,A,0,7,aCA707,C,0.19255563011839363,11.6
CA708,C,0,7,cCA708,A,0.1925556301183937,3.5
CA708,A,0,7,aCA708,C,0.2239699336535069,10.1
CA709,C,0,7,cCA709,A,0.1732867951399864,4
CA709,A,0,7,aCA709,C,0.20608232819842276,11.7
CH501,C,0,5,cCH501,H,0.12645011395981,6.1
CH501,H,0,5,hCH501,C,0.07433838846833657,5.3
CH502,C,0,5,cCH502,H,0.12645011395981,5.8
CH502,H,0,5,hCH502,C,0.0921998678913474,4.5
CH503,C,0,5,cCH503,H,0.13732653608351375,6.6
CH503,H,0,5,hCH503,C,0.09102981254640193,4.7
CH504,C,0,5,cCH504,H,0.1504966005407421,5.7
CH504,H,0,5,hCH504,C,0.09136093856784906,5.1
CH505,C,0,5,cCH505,H,0.1504966005407421,5.7
CH505,H,0,5,hCH505,C,0.11453634148426942,4.1
CH506,C,0,5,cCH506,H,0.1504966005407421,5.6
CH506,H,0,5,hCH506,C,0.08023173577154935,4.1
CH507,C,0,5,cCH507,H,0.1624103730162827,5.6
CH507,H,0,5,hCH507,C,0.1102986475248092,5.9
CH510,C,0,5,cCH510,H,0.13732653608351375,7.4
CH510,H,0,5,hCH510,C,0.08664339756999317,5.5
CH701,C,0,7,cCH701,H,0.14539385122571014,3
CH701,H,0,7,hCH701,C,0.1668751333415425,19.9
CH702,C,0,7,cCH702,H,0.14733187454270583,2.8
CH702,H,0,7,hCH702,C,0.14887320109989047,19.9
CH704,C,0,7,cCH704,H,0.14733187454270583,2.6
CH704,H,0,7,hCH704,C,0.16664806697574278,20
CH705,C,0,7,cCH705,H,0.16241037301628267,2
CH705,H,0,7,hCH705,C,0.1732867951399863,20.2
CH706,C,0,7,cCH706,H,0.10943359216923752,3
CH706,H,0,7,hCH706,C,0.1697654355191492,19.1
CH707,C,0,7,cCH707,H,0.10136627702704114,2.2
CH707,H,0,7,hCH707,C,0.17448297651700506,19
CH708,C,0,7,cCH708,H,0.12260365662646588,1.7
CH708,H,0,7,hCH708,C,0.1643544246422182,20.5
CH709,C,0,7,cCH709,H,0.18329213359917845,2.8
CH709,H,0,7,hCH709,C,0.16281555975680398,19.5
CH710,C,0,7,cCH710,H,0.13732653608351378,3.2
CH710,H,0,7,hCH710,C,0.1697654355191492,19.1
CL503,C,0,5,cCL503,L,0.1732867951399864,8.8
CL503,L,0,5,lCL503,C,0.13200658428116424,5
CL504,C,0,5,cCL504,L,0.1624103730162827,8.8
CL504,L,0,5,lCL504,C,0.1473318745427058,5.8
CL506,C,0,5,cCL506,L,0.1504966005407421,8.1
CL506,L,0,5,lCL506,C,0.12645011395981,5.5
CL508,C,0,5,cCL508,L,0.1473318745427058,9.3
CL508,L,0,5,lCL508,C,0.16796684333763684,5.4
CL702,C,0,7,cCL702,L,0.1732867951399864,6.2
CL702,L,0,7,lCL702,C,0.12063511200544838,13.1
CL703,C,0,7,cCL703,L,0.15659537106192103,5.8
CL703,L,0,7,lCL703,C,0.14242928539854563,12.4
CL704,C,0,7,cCL704,L,0.15659537106192106,4.8
CL704,L,0,7,lCL704,C,0.11172723450276208,11.6
CL705,C,0,7,cCL705,L,0.2011797390542627,6.3
CL705,L,0,7,lCL705,C,0.16098178603832977,12.2
CL706,C,0,7,cCL706,L,0.1925556301183937,6.5
