Plate_ID,Plug_ID,RT,anoms,0,mutual intermingling,,Rubric
CA501,c,0,,1,mutual inhibiton on contanct,,dist = gap
CA501,a,0,,2,mutual inhibition at a dist,,
CA502,c,0,,3,inhibiton on contact; overgrows,,
CA502,a,3,,4,inhibition at dist; overgrows,,
CA503,c,0,,,,,
CA503,a,0,,,,,
CA504,c,0,,,,,
CA504,a,3,,,,,
CA505,c,0,,,,, 
CA505,a,3,,,,,
CA506,c,0,,,,,
CA506,a,0,,,,,
CA507,c,0,,,,,
CA507,a,0,,,,,
CA508,c,0,,,,,
CA508,a,0,,,,,
CA509,c,0,,,,,
CA509,a,0,,,,,
CA510,c,0,,,,,
CA510,a,3,,,,,
CA701,c,0,,,,,
CA701,a,3,,,,,
CA702,c,0,,,,,
CA702,a,3,,,,,
CA703,c,0,,,,,
CA703,a,0,,,,,
CA704,c,0,,,,,
CA704,a,3,,,,,
CA705,c,0,,,,,
CA705,a,0,,,,,
CA706,c,0,,,,,
CA706,a,0,,,,,
CA707,c,0,,,,,
CA707,a,3,,,,,
CA708,c,0,,,,,
CA708,a,0,,,,,
CA709,c,0,,,,,
CA709,a,0,,,,,
CA710,c,0,contam,,,,
CA710,a,0,contam,,,,
CH501,c,0,,,,,
CH501,h,4,,,,,
CH502,c,0,,,,,
CH502,h,4,,,,,
CH503,c,0,,,,,
CH503,h,4,,,,,
CH504,c,0,,,,,
CH504,h,4,,,,,
CH505,c,0,,,,,
CH505,h,4,,,,,
CH506,c,0,,,,,
CH506,h,4,,,,,
CH507,c,0,,,,,
CH507,h,4,,,,,
CH508,c,0,contam,,,,
CH508,h,0,contam,,,,
CH509,c,0,contam,,,,
CH509,h,4,contam,,,,
CH510,c,0,,,,,
CH510,h,4,,,,,
CH701,c,0,,,,,
CH701,h,3,,,,,
CH702,c,0,,,,,
CH702,h,3,,,,,
CH703,c,0,contam,,,,
CH703,h,3,contam,,,,
CH704,c,0,,,,,
CH704,h,3,,,,,
CH705,c,0,,,,,
CH705,h,3,,,,,
CH706,c,0,,,,,
CH706,h,3,,,,,
CH707,c,0,,,,,
CH707,h,3,,,,,
CH708,c,0,,,,,
CH708,h,3,,,,,
CH709,c,0,,,,,
CH709,h,3,,,,,
CH710,c,0,,,,,
CH710,h,3,,,,,
CL501,c,0,removed,,,,
CL501,l,0,removed,,,,
CL502,c,0,removed,,,,
CL502,l,0,removed,,,,
CL503,c,0,,,,,
CL503,l,3,,,,,
CL504,c,0,,,,,
CL504,l,3,,,,,
CL505,c,0,,,,,
CL505,l,2,,,,,
CL506,c,0,,,,,
CL506,l,3,,,,,
CL507,c,0,contam,,,,
CL507,l,3,contam,,,,
CL508,c,0,,,,,
CL508,l,3,,,,,
CL509,c,0,contam,,,,
CL509,l,0,contam,,,,
CL510,c,0,contam,,,,
CL510,l,2,contam,,,,
CL701,c,0,contam,,,,
CL701,l,1,contam,,,,
CL702,c,0,,,,,
CL702,l,1,,,,,
CL703,c,0,,1 bc no overgrow,,,
CL703,l,1,,,,,
CL704,c,0,,,,,
CL704,l,3,,,,,
CL705,c,0,,,,,
CL705,l,1,,,,,
CL706,c,0,,,,,
CL706,l,1,,,,,
CL707,c,0,,,,,
CL707,l,3,,,,,
CL708,c,0,,,,,
CL708,l,1,,,,,
CL709,c,0,,,,,
CL709,l,3,,,,,
CL710,c,0,,,,,
CL710,l,3,,,,,
CP501,c,0,dead?,,,,
CP501,p,0,dead?,,,,
CP502,c,0,,,,,
CP502,p,3,,,,,
CP503,c,0,,,,,
CP503,p,3,,,,,
CP504,c,0,,,,,
CP504,p,3,,,,,
CP505,c,0,,,,,
CP505,p,3,,,,,
CP506,c,0,,,,,
CP506,p,3,,,,,
CP507,c,0,,,,,
CP507,p,3,,,,,
CP508,c,0,,,,,
CP508,p,3,,,,,
CP509,c,0,,,,,
CP509,p,3,,,,,
CP510,c,0,,,,,
CP510,p,3,,,,,
CP701,c,1,,1 bc P growing edge is curved,,,
CP701,p,3,,,,,
CP702,c,1,,,,,
CP702,p,3,,,,,
CP703,c,1,,,,,
CP703,p,3,,,,,
CP704,c,1,,,,,
CP704,p,3,,,,,
CP705,c,1,,,,,
CP705,p,3,,,,,
CP706,c,1,,,,,
CP706,p,3,,,,,
CP707,c,1,,,,,
CP707,p,3,,,,,
CP708,c,1,,,,,
CP708,p,3,,,,,
CP709,c,1,,,,,
CP709,p,3,,,,,
CP710,c,1,,,,,
CP710,p,3,,,,,
HA501,h,1,,,,,
HA501,a,1,,,,,
HA502,h,1,,,,,
HA502,a,1,,,,,
HA503,h,1,,,,,
HA503,a,1,,,,,
HA504,h,1,,,,,
HA504,a,1,,,,,
HA505,h,1,,,,,
HA505,a,1,,,,,
HA506,h,1,,,,,
HA506,a,1,,,,,
HA507,h,1,,,,,
HA507,a,1,,,,,
HA508,h,1,,,,,
HA508,a,1,,,,,
HA509,h,1,,,,,
HA509,a,1,,,,,
HA510,h,1,,,,,
HA510,a,1,,,,,
HA701,h,1,,,,,
HA701,a,1,,,,,
HA702,h,1,,,,,
HA702,a,1,,,,,
HA703,h,1,,,,,
HA703,a,1,,,,,
HA704,h,1,,,,,
HA704,a,1,,,,,
HA705,h,1,,,,,
HA705,a,1,,,,,
HA706,h,1,,,,,
HA706,a,1,,,,,
HA707,h,1,plg dslged,,,,
HA707,a,1,plg dslged,,,,
HA708,h,1,plg dslged,,,,
HA708,a,1,plg dslged,,,,
HA709,h,1,plg dslged,,,,
HA709,a,1,plg dslged,,,,
HA710,h,1,plg dslged,,,,
HA710,a,1,plg dslged,,,,
HP501,h,2,,,,,
HP501,p,1,,,,,
HP502,h,2,,,,,
HP502,p,1,,,,,
HP503,h,2,,,,,
HP503,p,1,,,,,
HP504,h,2,,,,,
HP504,p,1,,,,,
HP505,h,2,,,,,
HP505,p,1,,,,,
HP506,h,2,,,,,
HP506,p,1,,,,,
HP507,h,2,,,,,
HP507,p,1,,,,,
HP508,h,2,,,,,
HP508,p,1,,,,,
HP509,h,2,,,,,
HP509,p,1,,,,,
HP510,h,1,,,,,
HP510,p,1,,,,,
HP701,h,1,,,,,
HP701,p,1,,,,,
HP702,h,1,,,,,
HP702,p,1,,,,,
HP703,h,1,,,,,
HP703,p,1,,,,,
HP704,h,1,,,,,
HP704,p,1,,,,,
HP705,h,1,,,,,
HP705,p,1,,,,,
HP706,h,1,,,,,
HP706,p,1,,,,,
HP707,h,1,,,,,
HP707,p,1,,,,,
HP708,h,1,,,,,
HP708,p,1,,,,,
HP709,h,1,,,,,
HP709,p,1,,,,,
HP710,h,1,,,,,
HP710,p,1,,,,,
LA501,l,1,,,,,
LA501,a,1,,,,,
LA502,l,0,,,,,
LA502,a,3,,,,,
LA503,l,2,,,,,
LA503,a,0,dead?,,,,
LA504,l,0,,,,,
LA504,a,3,,,,,
LA505,l,0,,,,,
