Plate_ID,Plug_ID,1,2,3,4,5,6,7,8,
CA501,c,0.3,0.4,0.8,1.1,1.8,2.5,4.1,,
CA501,a,0.5,1.2,2.1,2.8,,,3.5,,
CA502,c,0.2,0.4,1,1.3,1.7,2.4,3.1,,
CA502,a,0.6,1.8,3.4,4.7,5.3,6.6,7.5,,
CA503,c,0.2,0.4,0.8,1.2,1.8,2.5,3.7,,
CA503,a,0.6,1.3,2.7,3.5,4.3,5.7,6.4,,
CA504,c,0.3,0.5,0.9,1.4,1.9,2.6,3.5,,
CA504,a,0.6,1.4,3.2,4.6,5.3,6.4,7.3,,
CA505,c,0.3,0.5,0.9,1.1,1.5,2.2,,,
CA505,a,0.6,1.8,3.5,5,5.9,6.7,7.6,,
CA506,c,0.3,0.5,0.9,1.2,1.7,2.6,3.8,,
CA506,a,0.5,1.1,2.4,3.1,3.8,4.7,5.5,,
CA507,c,0.3,0.5,0.8,1.2,1.8,2.6,4.3,,
CA507,a,0.4,0.9,1.3,1.8,2.4,3.4,,4.3,
CA508,c,0.2,0.5,0.9,1.4,1.9,2.6,4.5,,
CA508,a,0.5,1,1.9,2.6,3,,3.8,,
CA509,c,0.3,0.4,0.9,1.3,1.8,2.6,5,,
CA509,a,0.4,1.1,1.7,2.2,,,3.1,,
CA510,c,0.3,0.4,0.9,1.3,1.9,2.5,4.3,,
CA510,a,0.6,1.2,2.2,2.9,3.6,4.6,5.2,,
CA701,c,0.2,0.5,1.1,1.3,1.9,2.6,,4.4,
CA701,a,0.7,1.7,3.1,3.9,5.7,8.4,10.4,13,
CA702,c,0.2,0.6,1.4,1.7,2.1,2.7,,4.3,
CA702,a,0.7,2.1,4,5.3,8.4,10.7,13.8,16.1,
CA703,c,0.3,0.7,1.3,1.7,2.5,2.9,3.6,5,
CA703,a,0.5,1.3,2.1,3,4.3,6.6,8.9,11.1,
CA704,c,0.3,0.8,1.3,1.6,2.1,2.9,,3.9,
CA704,a,0.5,1.5,2.4,3.1,4.5,6.2,8.2,11.3,
CA705,c,0.2,0.8,1.2,1.8,,3,3.6,,
CA705,a,0.5,1.2,1.9,2.7,,3.2,4.4,5.5,
CA706,c,0.3,0.7,1.2,1.7,2.3,3.1,,3.8,
CA706,a,0.5,1.2,2.3,3.5,,4.3,5.4,6.4,
CA707,c,0.3,0.6,1,1.4,1.9,2.4,,2.9,
CA707,a,0.6,1.9,2.8,4,5.7,7.8,9.8,11.6,
CA708,c,0.3,0.7,1.4,1.6,2.1,2.7,,3.5,
CA708,a,0.4,1.4,2.4,3.3,4.4,5.9,7.9,10.1,
CA709,c,0.3,0.6,1.2,1.5,2.2,2.8,,4,
CA709,a,0.5,1.3,2.6,3.7,5.7,7.8,9.8,11.7,
CA710,c,0.3,0.7,1.1,1.4,1.9,2.3,,,contam
CA710,a,0.5,1.7,2.7,3.3,4.3,,,,contam
CH501,c,0.4,0.6,1.1,1.7,2.7,4.3,6.1,,
CH501,h,1.6,2.2,2.9,3.4,,4.2,,5.3,
CH502,c,0.4,0.6,1.1,1.7,2.7,4.2,5.8,,
CH502,h,1.1,1.7,2.3,2.8,,3.6,,4.5,
CH503,c,0.4,0.6,1.2,1.9,3,5.1,6.6,,
CH503,h,1.4,2,2.9,3.4,,3.9,,4.7,
CH504,c,0.3,0.6,1,1.6,2.8,4.4,5.7,,
CH504,h,1.3,1.8,2.7,3.2,,4.2,,5.1,
CH505,c,0.3,0.6,1,1.6,2.6,4.1,5.7,,
CH505,h,0.8,1.4,2,2.4,,3.3,,4.1,
CH506,c,0.3,0.5,1,1.7,2.7,4.2,5.6,,
CH506,h,1,1.5,1.9,2.3,,3,,4.1,
CH507,c,0.3,0.6,1.1,1.8,2.6,4.6,5.6,,
CH507,h,1.2,2.1,2.9,3.5,,4.3,,5.9,
CH508,c,0.3,0.6,1.2,1.6,2.7,3.7,4.1,,contam
CH508,h,1.1,1.5,1.9,2.1,2.5,,,,contam
CH509,c,0.4,0.7,1.1,1.6,2.9,4.4,,5.3,contam
CH509,h,1.4,1.7,3.2,3.9,4.3,5.2,,,contam
CH510,c,0.4,0.6,1.2,2,3.4,5.4,7.4,,
CH510,h,1.3,1.8,2.6,3,3.5,4.4,,5.5,
CH701,c,0.5,0.9,1.6,2.1,3,,,,
CH701,h,3,7,11.4,14.9,17.7,19.9,,,
CH702,c,0.4,0.8,1.3,2,2.8,,,,
CH702,h,3.1,7.4,10.2,14.2,17.5,19.9,,,
CH703,c,0.3,0.5,0.8,0.9,1.4,,,,contam
CH703,h,3.1,7.8,11,13.1,15,17.9,,,contam
CH704,c,0.4,0.8,1.3,1.5,2.6,,,,
CH704,h,2.9,6.4,11,14.4,17.8,20,,,
CH705,c,0.3,0.7,1.1,1.3,1.6,2,,,
CH705,h,2.5,7,10,13.7,16.1,20.2,,,
CH706,c,0.5,0.9,1.2,1.9,2.4,,3,,
CH706,h,2.7,6.8,10.5,13.7,16.3,19.1,,,
CH707,c,0.4,0.6,0.9,1.3,1.9,,2.2,,
CH707,h,2.6,7,10.5,14.4,17.2,19,,,
CH708,c,0.3,0.5,0.8,1.3,1.7,,,,
CH708,h,2.9,7,10.8,15.8,19.1,20.5,,,
CH709,c,0.3,0.9,1.3,1.8,2.4,,2.8,,
CH709,h,2.8,6.6,10.3,14.2,16.8,19.5,,,
CH710,c,0.5,0.9,1.5,1.8,2.5,,3.2,,
CH710,h,2.7,6.8,10.5,14.2,16.9,19.1,,,
CL501,c,,,,,,,,,removed
CL501,l,,,,,,,,,removed
CL502,c,,,,,,,,,removed
CL502,l,,,,,,,,,removed
CL503,c,0.3,0.6,1.2,2,3.1,5,7.1,8.8,
CL503,l,0.8,1.4,2.3,3.5,4.3,5,,,
CL504,c,0.3,0.6,1.1,1.7,3.1,5,7.1,8.8,
CL504,l,0.8,1.6,2.6,3.8,4.7,5.8,,,
CL505,c,0.3,0.6,1.1,1.3,1.7,,,,abn
CL505,l,0.7,1.2,2,3,4,6,8.2,10.2,abn
CL506,c,0.3,0.6,1,1.5,2.8,4.5,6.8,8.1,
CL506,l,0.8,1.4,2.2,3.3,3.9,5.5,,,
CL507,c,0.3,0.7,1.3,1.8,3.5,5.5,7.2,,contam
CL507,l,1,1.5,2.3,2.9,3.4,4,,,contam
CL508,c,0.4,0.7,1.3,1.8,3,4.8,7.1,9.3,
CL508,l,0.6,1.3,2.3,3.1,3.7,4.6,,5.4,
CL509,c,0.3,0.7,1.1,1.4,2.1,3.7,4.7,5.8,contam
CL509,l,0.8,1.3,2.4,2.8,3.5,4.2,,4.6,contam
CL510,c,0.3,0.7,1.4,1.7,2.3,2.8,,,contam
CL510,l,0.8,1.7,3.1,3.8,4.6,6.1,,7.3,contam
CL701,c,0.4,0.6,1,1.7,3,4.7,,5.9,contam
CL701,l,0.7,1,2.2,4,6.8,10.1,,,contam
CL702,c,0.3,0.6,1.2,1.9,3.5,5.2,6.2,,
CL702,l,0.8,1.3,2.1,4,8.3,10.7,13.1,,
CL703,c,0.4,0.7,1.4,2.4,3.8,5.8,,,
CL703,l,0.8,1.6,2.5,4,6.8,9.9,12.4,,
CL704,c,0.4,0.9,1.4,2.2,2.8,3.7,4.8,,
CL704,l,0.9,1.6,2.2,4,6.6,9,11.6,,
CL705,c,0.3,0.8,1.5,2.4,3.4,5.3,6.3,,
CL705,l,0.8,1.5,2.9,4.6,7.7,10.2,12.2,,
CL706,c,0.3,0.8,1.4,2.3,3.8,5.5,6.5,,
CL706,l,0.7,1.7,2.8,4.4,8.7,10.8,12.6,,
CL707,c,0.4,0.9,1.6,2,2.9,4.3,5.5,,
CL707,l,0.6,1.3,2.5,4.1,6.6,10,12.8,,
CL708,c,0.4,0.7,1.1,1.9,3.2,5,,,
CL708,l,0.9,1.6,2.5,4.2,8,11.3,13.8,,
CL709,c,0.4,0.8,1.6,2.3,3.6,5.3,6.4,,
CL709,l,0.8,1.5,2.9,4.5,7.5,9.9,12.6,,
CL710,c,0.3,0.9,1.6,2.1,2.7,3.8,4.7,,
CL710,l,0.8,1.3,2.4,4.1,6.7,10.4,13.3,,
CP501,c,0.2,0.4,0.5,0.5,,,,,dead?
CP501,p,0.8,1.7,3.4,3.6,,4.4,7,9.2,dead?
CP502,c,0.2,0.5,0.6,0.8,1.3,1.8,,,
CP502,p,0.5,1.9,4.4,7,9.4,12.9,14.4,,
CP503,c,0.3,0.4,0.8,1.2,1.8,3,3.7,,
CP503,p,0.5,1.7,4.2,7,10.4,14.5,16.8,,
CP504,c,0.3,0.4,0.7,0.9,1.7,2.1,2.5,,
CP504,p,1,2.7,5.3,8,11.3,14.7,17.3,,
