Fun,pair,diff,lwr,upr,p adj,p1.f,p1.pH,p2.f,p2.pH,key
A,7:C-5:A,6.58888888888889,4.081559773154201,9.09621800462358,1.341060595905219e-10,C,7,A,5,K
A,5:P-5:A,2.6233333333333295,0.17949120875155655,5.067175457915102,0.025390176178089696,P,5,A,5,K
A,7:P-5:A,3.0333333333333297,0.5894912087515567,5.477175457915102,0.004507563104646506,P,7,A,5,K
A,7:C-7:A,5.385555555555562,2.9417134309737887,7.829397680137335,1.3069423321354634e-8,C,7,A,7,K
C,7:C-5:A,1.7500000000000009,0.9119044668143365,2.5880955331856654,8.328385847633513e-8,C,7,A,5,K
C,7:C-7:A,1.666666666666667,0.805605359900757,2.527727973432577,7.054888639945744e-7,C,7,A,7,K
C,7:C-5:C,1.42,0.5819044668143355,2.2580955331856645,1.8513024444333226e-5,C,7,C,5,K
C,5:H-5:C,1.8825000000000003,0.9935654478033926,2.7714345521966077,5.4703920726595356e-8,H,5,C,5,K
C,7:H-5:C,-1.5911111111111103,-2.45217241787702,-0.7300498043452003,2.358295742022065e-6,H,7,C,5,K
C,5:L-5:C,4.570000000000002,3.461303822138328,5.678696177861676,0,L,5,C,5,K
C,7:L-5:C,1.5088888888888912,0.6478275821229812,2.369950195654801,8.567630146005811e-6,L,7,C,5,K
C,5:P-5:C,-1.48,-2.34106130676591,-0.61893869323409,1.339276181111515e-5,P,5,C,5,K
C,7:H-7:C,-3.01111111111111,-3.87217241787702,-2.1500498043452003,0,H,7,C,7,K
C,5:L-7:C,3.150000000000002,2.041303822138328,4.258696177861676,0,L,5,C,7,K
C,5:P-7:C,-2.9,-3.7610613067659098,-2.03893869323409,0,P,5,C,7,K
C,7:P-7:C,-0.9200000000000017,-1.7580955331856662,-0.08190446681433727,0.020164445796053365,P,7,C,7,K
H,5:H-5:A,-3.9855555555555577,-5.219133288197001,-2.7519778229141147,0,H,5,A,5,K
H,7:H-5:A,2.3299999999999947,1.1293236028138427,3.530676397186147,6.220508990129048e-7,H,7,A,5,K
H,5:H-7:A,-14.022222222222219,-15.43723292632382,-12.607211518120618,0,H,5,A,7,K
H,7:H-7:A,-7.706666666666667,-9.093088348916776,-6.320244984416557,0,H,7,A,7,K
H,7:H-5:C,5.760000000000002,4.48649036630856,7.033509633691443,0,H,7,C,5,K
H,5:H-7:C,-15.344444444444445,-16.61006849374885,-14.078820395140037,0,H,5,C,7,K
H,7:H-7:C,-9.028888888888893,-10.262466621530336,-7.79531115624745,0,H,7,C,7,K
H,7:H-5:H,6.3155555555555525,5.0819778229141095,7.5491332881969955,0,H,7,H,5,K
H,5:L-5:H,4.215555555555556,2.9819778229141134,5.449133288196999,0,L,5,H,5,K
H,7:L-5:H,12.155555555555555,10.850980146154553,13.460130964956557,0,L,7,H,5,K
H,5:P-5:H,1.6755555555555546,0.4419778229141118,2.9091332881969976,0.00121029065860212,P,5,H,5,K
H,7:P-5:H,10.845555555555553,9.61197782291411,12.079133288196996,0,P,7,H,5,K
H,5:L-7:H,-2.099999999999996,-3.300676397186148,-0.899323602813844,8.623225622672592e-6,L,5,H,7,K
H,7:L-7:H,5.840000000000003,4.566490366308562,7.113509633691445,0,L,7,H,7,K
H,5:P-7:H,-4.639999999999998,-5.84067639718615,-3.439323602813846,0,P,5,H,7,K
H,7:P-7:H,4.529999999999999,3.3293236028138473,5.730676397186151,0,P,7,H,7,K
L,5:L-5:A,-1.5199999999999987,-2.499722285176084,-0.5402777148239134,1.1572333929432688e-4,L,5,A,5,K
L,7:L-5:A,1.8311111111111167,0.8245421488177458,2.8376800734044876,3.4064761679220013e-6,L,7,A,5,K
L,5:L-7:A,-7.6400000000000015,-8.646568962293372,-6.633431037706631,0,L,5,A,7,K
L,7:L-7:A,-4.288888888888886,-5.321606854082702,-3.2561709236950698,0,L,7,A,7,K
L,7:L-5:C,2.786111111111108,1.4696488469708322,4.102573375251383,5.364245159178438e-8,L,7,C,5,K
L,5:L-7:C,-7.851111111111117,-8.857680073404488,-6.844542148817746,0,L,5,C,7,K
L,7:L-7:C,-4.500000000000002,-5.532717965193818,-3.4672820348061855,0,L,7,C,7,K
L,5:L-5:H,-1.2299999999999978,-2.209722285176083,-0.2502777148239125,0.0039052492979352316,L,5,H,5,K
L,7:L-5:H,2.1211111111111176,1.1145421488177467,3.1276800734044885,6.106729844024272e-8,L,7,H,5,K
L,5:L-7:H,-1.265000000000005,-2.3041524072913906,-0.22584759270861943,0.005908203425489367,L,5,H,7,K
L,7:L-7:H,2.0861111111111104,1.0216097981193488,3.1506124241028717,4.899811936187604e-7,L,7,H,7,K
L,7:L-5:L,3.3511111111111154,2.3445421488177445,4.357680073404486,0,L,7,L,5,K
L,7:P-5:L,3.2500000000000027,2.2702777148239175,4.229722285176088,0,P,7,L,5,K
L,5:P-7:L,-3.2211111111111146,-4.2276800734044855,-2.2145421488177437,0,P,5,L,7,K
P,5:P-5:A,-5.502222222222219,-7.583344564738054,-3.4210998797063836,3.69574371106296e-10,P,5,A,5,K
P,7:P-5:A,-4.889999999999997,-6.9156157436994,-2.864384256300595,8.027607467653297e-10,P,7,A,5,K
P,5:P-7:A,-3.8022222222222197,-5.883344564738055,-1.7210998797063843,2.539347584096241e-6,P,5,A,7,K
P,7:P-7:A,-3.1899999999999977,-5.2156157436994,-1.1643842563005955,7.778533588098657e-5,P,7,A,7,K
P,5:P-5:C,-8.722222222222237,-10.85740869368423,-6.587035750760245,3.561764216897245e-10,P,5,C,5,K
P,7:P-5:C,-8.110000000000015,-10.19112234251585,-6.0288776574841805,3.561803074703107e-10,P,7,C,5,K
P,5:P-7:C,-5.242222222222233,-7.323344564738068,-3.161099879706398,4.4651637942649813e-10,P,5,C,7,K
P,7:P-7:C,-4.630000000000011,-6.655615743699414,-2.604384256300609,3.4702483109327886e-9,P,7,C,7,K
P,5:P-5:H,-3.502222222222219,-5.583344564738054,-1.4210998797063836,1.851767728866527e-5,P,5,H,5,K
