Fun,pair,diff,lwr,upr,p adj,p1.f,p1.pH,p2.f,p2.pH,key
C,7:H-5:H,-0.46255892649705527,-0.7286200645486591,-0.19649778844545146,2.4888121442523392e-5,H,7,H,5,r
C,7:L-5:L,-0.350688205032608,-0.6560966156473171,-0.04527979441789892,0.013759646636278933,L,7,L,5,r
H,7:A-5:A,-0.43009952946453744,-0.5986731891397047,-0.2615258697893702,1.0112458648237066e-9,A,7,A,5,r
H,7:C-5:C,-0.2616187416109267,-0.4202407928241185,-0.10299669039773482,6.753999924324905e-5,C,7,C,5,r
H,7:L-5:L,-0.45815741034591134,-0.6130022042000656,-0.3033126164917571,2.1427859486777834e-11,L,7,L,5,r
H,7:P-5:P,-0.3646531548473538,-0.510642226534961,-0.2186640831597465,1.9730910238990873e-9,P,7,P,5,r
P,7:C-5:C,-0.233459629919556,-0.3653603502949704,-0.10155890954414162,1.3610885771342396e-5,C,7,C,5,r
A,7:L-5:L,-0.5880002290213313,-1.0629718319847503,-0.11302862605791225,0.00573785365192625,L,7,L,5,K
C,7:H-5:H,-1.15651742468191,-1.5685088347844949,-0.7445260145793253,7.04761804470877e-11,H,7,H,5,K
H,7:C-5:C,0.48866774535281315,0.33086095320002806,0.6464745375055982,1.6493362231528863e-11,C,7,C,5,K
H,7:L-5:L,-0.2549747574857152,-0.4090237059944026,-0.1009258089770278,6.311667704406165e-5,L,7,L,5,K
L,7:H-5:H,-0.514107178702699,-0.708438943594901,-0.3197754138104969,3.1964153546226726e-10,H,7,H,5,K
P,7:A-5:A,-0.17724671358696759,-0.33903742411980564,-0.015456003054129558,0.0219249195281761,A,7,A,5,K
P,7:C-5:C,-0.26215847315508584,-0.42838262674824035,-0.09593431956193135,1.3840436431544756e-4,C,7,C,5,K
P,7:H-5:H,-0.5869955709834463,-0.7487862815162843,-0.42520486045060835,0,H,7,H,5,K
P,7:L-5:L,-0.17736350699295794,-0.339154217525796,-0.015572796460119914,0.021782612179844896,L,7,L,5,K
A,7:C-7:A,0.04245758932253338,0.0026883403528753583,0.0822268382921914,0.02684917504181983,C,7,A,7,r
A,5:P-7:A,0.04714626853303863,0.008437724022072407,0.08585481304400486,0.005804340517878814,P,5,A,7,r
A,7:P-7:A,0.04516065731172908,0.006452112800762855,0.0838692018226953,0.009996463862339766,P,7,A,7,r
C,5:C-5:A,-0.05239385388344685,-0.09171204874277547,-0.013075659024118232,0.001639796829642548,C,5,A,5,r
C,5:C-7:A,-0.0959080449653451,-0.13630365012572979,-0.05551243980496041,1.2658222248163042e-9,C,5,A,7,r
C,7:C-7:A,-0.045864866224045564,-0.08626047138443024,-0.005469261063660878,0.013863433013735382,C,7,A,7,r
C,7:C-5:C,0.05004317874129953,0.010724983881970913,0.08936137360062815,0.0032248022602173743,C,7,C,5,r
C,5:H-5:C,0.04564391797791299,0.0039406746643450286,0.08734716129148096,0.02078834862948764,H,5,C,5,r
C,7:H-5:C,0.04257225239647304,0.002176647236088354,0.08296785755685773,0.030629672310290235,H,7,C,5,r
C,5:L-5:C,0.06214943688846837,0.01399467938213051,0.11030419439480624,0.002641776647222649,L,5,C,5,r
C,7:L-5:C,0.07657152973423807,0.03617592457385339,0.11696713489462277,1.1948003020290088e-6,L,7,C,5,r
C,7:P-5:C,0.08454643025381907,0.04522823539449045,0.12386462511314769,3.302040663122341e-8,P,7,C,5,r
H,7:H-5:A,0.13620568974971511,0.1161806988312322,0.15623068066819804,0,H,7,A,5,r
H,5:H-7:A,-0.06635428743957109,-0.08995396555900159,-0.04275460932014058,0,H,5,A,7,r
H,7:H-7:A,0.07680929014904075,0.05368642235442891,0.0999321579436526,0,H,7,A,7,r
H,7:H-5:C,0.15772202132044033,0.13648231101295288,0.17896173162792778,0,H,7,C,5,r
H,5:H-7:C,-0.059180223763600576,-0.08028841757246498,-0.03807202995473617,0,H,5,C,7,r
H,7:H-7:C,0.08398335382501126,0.06340963142047415,0.10455707622954838,0,H,7,C,7,r
H,7:H-5:H,0.14316357758861184,0.12258985518407473,0.16373729999314895,0,H,7,H,5,r
H,7:L-5:H,0.04723932304961956,0.025481494889630384,0.06899715120960873,2.3522060077496576e-8,L,7,H,5,r
H,7:P-5:H,0.054856618558233344,0.03428289615369623,0.07543034096277046,6.823874798556062e-12,P,7,H,5,r
H,5:L-7:H,-0.14602919361437122,-0.16605418453285414,-0.1260042026958883,0,L,5,H,7,r
H,7:L-7:H,-0.09592425453899228,-0.11716396484647973,-0.07468454423150483,0,L,7,H,7,r
H,5:P-7:H,-0.14995111519848958,-0.1699761061169725,-0.12992612428000666,0,P,5,H,7,r
H,7:P-7:H,-0.0883069590303785,-0.10833194994886142,-0.06828196811189557,0,P,7,H,7,r
L,5:L-5:A,0.06425422799884595,0.029123857681913674,0.09938459831577823,2.9116985917898575e-6,L,5,A,5,r
L,7:L-5:A,0.0818418023324739,0.04574877788061007,0.11793482678433773,5.8307156880488265e-9,L,7,A,5,r
L,5:L-7:A,0.04884867079349575,0.01275564634163192,0.08494169524535958,0.0012811945189716845,L,5,A,7,r
L,7:L-7:A,0.0664362451271237,0.02940558337823128,0.10346690687601613,4.688858973089793e-6,L,7,A,7,r
L,5:L-5:C,0.06392230271481425,0.02089656183906413,0.10694804359056437,2.6101909715359195e-4,L,5,C,5,r
L,7:L-5:C,0.0815098770484422,0.03769460718295765,0.12532514691392677,1.8948120291684134e-6,L,7,C,5,r
