Fun,pair,diff,lwr,upr,p adj,p1.f,p1.pH,p2.f,p2.pH,key
C,7:H-5:H,-0.46255892649705527,-0.7286200645486591,-0.19649778844545146,2.4888121442523392e-5,H,7,H,5,r
C,7:L-5:L,-0.350688205032608,-0.6560966156473171,-0.04527979441789892,0.013759646636278933,L,7,L,5,r
H,7:A-5:A,-0.43009952946453744,-0.5986731891397047,-0.2615258697893702,1.0112458648237066e-9,A,7,A,5,r
H,7:C-5:C,-0.2616187416109267,-0.4202407928241185,-0.10299669039773482,6.753999924324905e-5,C,7,C,5,r
H,7:L-5:L,-0.45815741034591134,-0.6130022042000656,-0.3033126164917571,2.1427859486777834e-11,L,7,L,5,r
H,7:P-5:P,-0.3646531548473538,-0.510642226534961,-0.2186640831597465,1.9730910238990873e-9,P,7,P,5,r
P,7:C-5:C,-0.233459629919556,-0.3653603502949704,-0.10155890954414162,1.3610885771342396e-5,C,7,C,5,r
A,7:L-5:L,-0.5880002290213313,-1.0629718319847503,-0.11302862605791225,0.00573785365192625,L,7,L,5,K
C,7:H-5:H,-1.15651742468191,-1.5685088347844949,-0.7445260145793253,7.04761804470877e-11,H,7,H,5,K
H,7:C-5:C,0.48866774535281315,0.33086095320002806,0.6464745375055982,1.6493362231528863e-11,C,7,C,5,K
H,7:L-5:L,-0.2549747574857152,-0.4090237059944026,-0.1009258089770278,6.311667704406165e-5,L,7,L,5,K
L,7:H-5:H,-0.514107178702699,-0.708438943594901,-0.3197754138104969,3.1964153546226726e-10,H,7,H,5,K
P,7:A-5:A,-0.17724671358696759,-0.33903742411980564,-0.015456003054129558,0.0219249195281761,A,7,A,5,K
P,7:C-5:C,-0.26215847315508584,-0.42838262674824035,-0.09593431956193135,1.3840436431544756e-4,C,7,C,5,K
P,7:H-5:H,-0.5869955709834463,-0.7487862815162843,-0.42520486045060835,0,H,7,H,5,K
P,7:L-5:L,-0.17736350699295794,-0.339154217525796,-0.015572796460119914,0.021782612179844896,L,7,L,5,K
