Fun,pair,p adj,p1.f,p1.pH,p2.f,p2.pH,key
A,7:C-7:A,0.02684917504181983,C,7,A,7,r
A,5:P-7:A,0.005804340517878925,P,5,A,7,r
A,7:P-7:A,0.009996463862339877,P,7,A,7,r
C,5:C-5:A,0.001639796829642548,C,5,A,5,r
C,5:C-7:A,1.2658222248163042e-9,C,5,A,7,r
C,7:C-7:A,0.013863433013735382,C,7,A,7,r
C,7:C-5:C,0.0032248022602173743,C,7,C,5,r
C,5:H-5:C,0.02078834862948764,H,5,C,5,r
C,7:H-5:C,0.030629672310291012,H,7,C,5,r
C,5:L-5:C,0.002641776647222649,L,5,C,5,r
C,7:L-5:C,1.1948003020290088e-6,L,7,C,5,r
C,7:P-5:C,3.302040663122341e-8,P,7,C,5,r
H,7:H-5:A,0,H,7,A,5,r
H,5:H-7:A,0,H,5,A,7,r
H,7:H-7:A,0,H,7,A,7,r
H,7:H-5:C,0,H,7,C,5,r
H,5:H-7:C,0,H,5,C,7,r
H,7:H-7:C,0,H,7,C,7,r
H,7:H-5:H,0,H,7,H,5,r
H,7:L-5:H,2.3522060077496576e-8,L,7,H,5,r
H,7:P-5:H,6.823874798556062e-12,P,7,H,5,r
H,5:L-7:H,0,L,5,H,7,r
H,7:L-7:H,0,L,7,H,7,r
H,5:P-7:H,0,P,5,H,7,r
H,7:P-7:H,0,P,7,H,7,r
L,5:L-5:A,2.9116985917898575e-6,L,5,A,5,r
L,7:L-5:A,5.8307156880488265e-9,L,7,A,5,r
L,5:L-7:A,0.0012811945189716845,L,5,A,7,r
L,7:L-7:A,4.688858973089793e-6,L,7,A,7,r
L,5:L-5:C,2.6101909715370297e-4,L,5,C,5,r
L,7:L-5:C,1.8948120291684134e-6,L,7,C,5,r
L,5:L-7:C,3.953284954572034e-5,L,5,C,7,r
L,7:L-7:C,1.0356313751014312e-7,L,7,C,7,r
L,5:L-5:H,1.712982853341316e-7,L,5,H,5,r
L,7:L-5:H,3.152934580086253e-10,L,7,H,5,r
L,7:L-7:H,9.31010445292868e-4,L,7,H,7,r
L,5:P-5:L,5.03922943329016e-6,P,5,L,5,r
L,5:P-7:L,1.0293946250961028e-8,P,5,L,7,r
P,5:P-7:C,0.006951414763878283,P,5,C,7,r
P,7:P-7:C,6.39845213379342e-6,P,7,C,7,r
P,7:P-5:H,1.458443041313373e-4,P,7,H,5,r
P,5:P-7:H,0.01738894513708189,P,5,H,7,r
P,7:P-7:H,2.2094087000823492e-5,P,7,H,7,r
P,5:P-5:L,2.1734893041536196e-4,P,5,L,5,r
P,7:P-5:L,8.532206430267308e-8,P,7,L,5,r
P,5:P-7:L,1.5040123075338308e-4,P,5,L,7,r
P,7:P-7:L,5.524739687956526e-8,P,7,L,7,r
A,7:C-5:A,1.341060595905219e-10,C,7,A,5,K
A,5:P-5:A,0.025390176178089696,P,5,A,5,K
A,7:P-5:A,0.004507563104646506,P,7,A,5,K
A,7:C-7:A,1.3069423321354634e-8,C,7,A,7,K
C,7:C-5:A,0.0019135598005926013,C,7,A,5,K
C,7:C-7:A,0.005573407585255152,C,7,A,7,K
C,7:C-5:C,0.026223916733468244,C,7,C,5,K
C,5:H-5:C,0.0015435560910199708,H,5,C,5,K
C,7:H-5:C,0.010004878582121735,H,7,C,5,K
C,5:L-5:C,6.031363749547936e-7,L,5,C,5,K
C,7:L-5:C,0.01839192890786734,L,7,C,5,K
C,5:P-5:C,0.022611237538221807,P,5,C,5,K
C,7:H-7:C,1.4180661866980415e-8,H,7,C,7,K
C,5:L-7:C,0.026091874336252818,L,5,C,7,K
C,5:P-7:C,4.5682249871781266e-8,P,5,C,7,K
H,5:H-5:A,0,H,5,A,5,K
H,7:H-5:A,6.220508990129048e-7,H,7,A,5,K
H,5:H-7:A,0,H,5,A,7,K
H,7:H-7:A,0,H,7,A,7,K
H,7:H-5:C,0,H,7,C,5,K
H,5:H-7:C,0,H,5,C,7,K
H,7:H-7:C,0,H,7,C,7,K
H,7:H-5:H,0,H,7,H,5,K
H,5:L-5:H,0,L,5,H,5,K
H,7:L-5:H,0,L,7,H,5,K
H,5:P-5:H,0.00121029065860212,P,5,H,5,K
H,7:P-5:H,0,P,7,H,5,K
H,5:L-7:H,8.623225622672592e-6,L,5,H,7,K
H,7:L-7:H,0,L,7,H,7,K
H,5:P-7:H,0,P,5,H,7,K
H,7:P-7:H,0,P,7,H,7,K
L,5:L-5:A,0.0032768601327324287,L,5,A,5,K
L,7:L-5:A,2.46493033162265e-4,L,7,A,5,K
L,5:L-7:A,0,L,5,A,7,K
L,7:L-7:A,0,L,7,A,7,K
L,5:L-5:C,0.03556083084116113,L,5,C,5,K
L,7:L-5:C,0.005272587223028258,L,7,C,5,K
L,5:L-7:C,0,L,5,C,7,K
L,7:L-7:C,0,L,7,C,7,K
L,5:L-5:H,0.03871134586497438,L,5,H,5,K
L,7:L-5:H,1.1690081329618351e-5,L,7,H,5,K
L,7:L-7:H,5.7323190294167325e-5,L,7,H,7,K
L,7:L-5:L,0,L,7,L,5,K
L,7:P-5:L,0,P,7,L,5,K
L,5:P-7:L,2.2607027361232213e-11,P,5,L,7,K
P,5:P-5:A,3.69574371106296e-10,P,5,A,5,K
P,7:P-5:A,8.027607467653297e-10,P,7,A,5,K
P,5:P-7:A,2.539347584096241e-6,P,5,A,7,K
P,7:P-7:A,7.778533588098657e-5,P,7,A,7,K
P,5:P-5:C,3.561764216897245e-10,P,5,C,5,K
P,7:P-5:C,3.561803074703107e-10,P,7,C,5,K
P,5:P-7:C,4.4651637942649813e-10,P,5,C,7,K
P,7:P-7:C,3.4702483109327886e-9,P,7,C,7,K
P,5:P-5:H,1.851767728866527e-5,P,5,H,5,K
P,7:P-5:H,5.082393563599075e-4,P,7,H,5,K
P,7:P-7:H,0.004801995066442077,P,7,H,7,K
P,5:P-5:L,9.84872383646973e-9,P,5,L,5,K
P,7:P-5:L,3.324971935558807e-7,P,7,L,5,K
P,5:P-7:L,0.00176806798219864,P,5,L,7,K
P,7:P-7:L,0.029765363846682713,P,7,L,7,K
